gmina,powiat,wojewodztwo,teryt_gmi,pop_risk_total,pop_ge65,pop_outside_ge65,outside_share,risk_class_max,priority_score_v12,rank,new_large_siren_gap_count,gap_count_not_priced_as_integration,estimated_new_siren_gap_cost_pln,new_siren_cost_per_pop_outside_ge65_pln
Dzierzkowice,kraśnicki,LUBELSKIE,0607032,118.02884080502648,87.08029356211732,30.948547242909164,0.2622117359775947,wysokie ryzyko,50.5,806,0,7,0,0.0
Łapy,białostocki,PODLASKIE,2002063,372.8750014305325,341.99097818137966,30.884023249152808,0.0828267465790585,wysokie ryzyko,48.18,872,0,2,0,0.0
Ceranów,sokołowski,MAZOWIECKIE,1429032,340.7438688664242,309.99004802059636,30.753820845827825,0.0902549499955455,wysokie ryzyko,46.83,922,0,5,0,0.0
Biały Dunajec,tatrzański,MAŁOPOLSKIE,1217022,187.57812264835388,156.92223830943726,30.655884338916607,0.1634299560422945,wysokie ryzyko,48.75,856,0,5,0,0.0
Czarnków,czarnkowsko-trzcianecki,WIELKOPOLSKIE,3002022,40.14580991549981,9.5,30.645809915499804,0.7633626019752521,niskie ryzyko,47.7,882,0,6,0,0.0
Sieraków,międzychodzki,WIELKOPOLSKIE,3014043,168.68873837945188,138.09950505238976,30.58923332706209,0.1813353613342821,wysokie ryzyko,48.4,864,0,7,0,0.0
Kalinowo,ełcki,WARMIŃSKO-MAZURSKIE,2805032,30.402493258930523,0.0,30.402493258930523,1.0,niskie ryzyko,51.86,769,0,8,0,0.0
Czeladź,będziński,ŚLĄSKIE,2401021,139.7128287124558,109.5471980324866,30.16563067996922,0.2159116736663701,wysokie ryzyko,51.42,781,0,2,0,0.0
Stare Pole,malborski,POMORSKIE,2209082,227.83823486722468,197.6878514387003,30.15038342852437,0.1323324131531077,wysokie ryzyko,47.48,894,0,6,0,0.0
Piława Górna,dzierżoniowski,DOLNOŚLĄSKIE,0202041,258.6187224210816,228.59325241644063,30.025470004640976,0.1160993671438592,wysokie ryzyko,49.38,834,0,2,0,0.0
Sulejów,piotrkowski,ŁÓDZKIE,1010093,684.4342113352169,654.476005121709,29.95820621350795,0.0437707608961634,wysokie ryzyko,46.72,931,0,4,0,0.0
Dębowiec,cieszyński,ŚLĄSKIE,2403062,36.12418115337127,6.168614327046305,29.95556682632496,0.8292386393242681,wysokie ryzyko,62.88,410,0,4,0,0.0
Krapkowice,krapkowicki,OPOLSKIE,1605023,578.6400640721411,548.8337203674163,29.80634370472483,0.0515110265524386,wysokie ryzyko,46.54,939,0,3,0,0.0
Godów,wodzisławski,ŚLĄSKIE,2415052,365.62302213914234,335.86799049908404,29.7550316400583,0.0813817233553051,wysokie ryzyko,46.75,929,0,4,0,0.0
Kołbiel,otwocki,MAZOWIECKIE,1417052,210.88618215978164,181.29723173032616,29.588950429455465,0.1403076774704796,wysokie ryzyko,46.94,916,0,9,0,0.0
Opatowiec,kazimierski,ŚWIĘTOKRZYSKIE,2603043,98.53121228154129,68.94277609784932,29.588436183691968,0.30029505877941,wysokie ryzyko,50.54,805,0,9,0,0.0
Przeworsk,przeworski,PODKARPACKIE,1814011,1759.495759555239,1729.9472092883946,29.548550266844305,0.01679376043186,wysokie ryzyko,47.26,903,0,1,0,0.0
Rokitno,bialski,LUBELSKIE,0601122,102.68772799854324,73.24973220642033,29.437995792122926,0.286674915940691,wysokie ryzyko,50.07,820,0,6,0,0.0
Brańsk,bielski,PODLASKIE,2003052,30.28183607309708,0.9884981835850144,29.293337889512063,0.9673567289249276,niskie ryzyko,51.03,793,0,5,0,0.0
Baboszewo,płoński,MAZOWIECKIE,1420032,38.28842050864888,8.995981427698581,29.2924390809503,0.765046943483435,wysokie ryzyko,60.32,504,0,5,0,0.0
Pionki,radomski,MAZOWIECKIE,1425082,50.20247544608587,20.962011142631347,29.240464303454523,0.5824506469776942,wysokie ryzyko,55.86,656,0,4,0,0.0
Tykocin,białostocki,PODLASKIE,2002123,107.12890362118338,78.11453956823453,29.014364052948856,0.2708360029105313,wysokie ryzyko,49.33,835,0,6,0,0.0
Psary,będziński,ŚLĄSKIE,2401062,78.38415844461335,49.44134940940712,28.942809035206224,0.3692430920931219,wysokie ryzyko,53.42,732,0,2,0,0.0
Janikowo,inowrocławski,KUJAWSKO-POMORSKIE,0407053,28.935509556542662,0.0,28.935509556542662,1.0,wysokie ryzyko,66.75,293,0,2,0,0.0
Jawor,jaworski,DOLNOŚLĄSKIE,0205011,3818.4630043770544,3789.5739405897593,28.88906378729495,0.0075656262098597,wysokie ryzyko,48.33,868,0,2,0,0.0
Bielsko-Biała,Bielsko-Biała,ŚLĄSKIE,2461011,3797.5299308336416,3768.8091532537096,28.72077757993214,0.0075630154608491,wysokie ryzyko,44.83,983,0,7,0,0.0
Kodeń,bialski,LUBELSKIE,0601062,114.90940560660836,86.22221158437586,28.687194022232497,0.2496505300918789,wysokie ryzyko,48.96,850,0,10,0,0.0
Terespol,bialski,LUBELSKIE,0601021,3082.666092741004,3054.0872040105555,28.57888873044847,0.0092708350079645,wysokie ryzyko,44.27,1006,0,7,0,0.0
Sośnie,ostrowski,WIELKOPOLSKIE,3017082,77.64005111986549,49.14510669513335,28.49494442473213,0.3670134680970248,wysokie ryzyko,52.07,765,0,5,0,0.0
Czerwonak,poznański,WIELKOPOLSKIE,3021042,69.08672018091569,40.771173027736104,28.31554715317959,0.4098551368342623,wysokie ryzyko,54.06,715,0,4,0,0.0
Stara Kamienica,karkonoski,DOLNOŚLĄSKIE,0206092,33.62231051505397,5.686408995752243,27.93590151930173,0.8308739373159313,wysokie ryzyko,61.13,477,0,6,0,0.0
Ziębice,ząbkowicki,DOLNOŚLĄSKIE,0224063,258.0181987793161,230.1333744651438,27.884824314172313,0.1080730911466532,wysokie ryzyko,47.49,893,0,3,0,0.0
Paszowice,jaworski,DOLNOŚLĄSKIE,0205052,27.656017325104916,0.0,27.656017325104916,1.0,wysokie ryzyko,64.05,376,0,3,0,0.0
Maszewo,krośnieński,LUBUSKIE,0802072,176.14824592913274,148.6471592865784,27.501086642554355,0.1561246692948533,wysokie ryzyko,46.72,932,0,2,0,0.0
Działoszyn,pajęczański,ŁÓDZKIE,1009013,252.48756424405045,225.0841513990784,27.40341284497204,0.1085337130445139,wysokie ryzyko,46.77,928,0,5,0,0.0
Mucharz,wadowicki,MAŁOPOLSKIE,1218052,109.33337961887042,81.99093868247323,27.342440936397185,0.2500831953764832,wysokie ryzyko,50.2,817,0,1,0,0.0
Jeżów Sudecki,karkonoski,DOLNOŚLĄSKIE,0206062,83.50426497442189,56.19262379675651,27.311641177665383,0.3270688172158774,wysokie ryzyko,58.28,574,0,1,0,0.0
Lipsko,lipski,MAZOWIECKIE,1409033,80.26340660245162,53.0471425290628,27.216264073388825,0.3390868295460251,wysokie ryzyko,50.79,800,0,3,0,0.0
Brzozów,brzozowski,PODKARPACKIE,1802013,1263.3526892148143,1236.239294464889,27.113394749925433,0.0214614612225004,wysokie ryzyko,45.97,949,0,3,0,0.0
Marcinowice,świdnicki,DOLNOŚLĄSKIE,0219052,304.73380882323914,277.7167727385908,27.01703608464835,0.088657822999612,wysokie ryzyko,45.94,950,0,3,0,0.0
Stare Kurowo,strzelecko-drezdenecki,LUBUSKIE,0806032,151.11197272286037,124.70704837120216,26.4049243516582,0.1747374736486623,wysokie ryzyko,47.36,898,0,7,0,0.0
Tarnów,tarnowski,MAŁOPOLSKIE,1216092,571.4006118589033,545.0043570860555,26.396254772847858,0.0461957061735977,wysokie ryzyko,45.61,957,0,3,0,0.0
Miłosław,wrzesiński,WIELKOPOLSKIE,3030023,852.5853216146807,826.2637952404873,26.321526374193276,0.0308726009079582,wysokie ryzyko,44.41,997,0,4,0,0.0
Pielgrzymka,złotoryjski,DOLNOŚLĄSKIE,0226032,88.06023451410422,61.789893843638986,26.270340670465245,0.2983224018811537,wysokie ryzyko,50.88,798,0,4,0,0.0
Lubień Kujawski,włocławski,KUJAWSKO-POMORSKIE,0418113,48.48642618878663,22.265871595960128,26.220554592826502,0.5407813413744749,wysokie ryzyko,55.46,669,0,2,0,0.0
Zawidów,zgorzelecki,DOLNOŚLĄSKIE,0225011,249.88915320536728,223.6836746976211,26.2054785077462,0.1048684113400058,wysokie ryzyko,47.39,897,0,3,0,0.0
Łaskarzew,garwoliński,MAZOWIECKIE,1403062,56.59020408035708,30.393132433995987,26.197071646361092,0.4629259086813279,wysokie ryzyko,54.55,701,0,3,0,0.0
Promna,białobrzeski,MAZOWIECKIE,1401022,175.72906244210205,149.6947676838409,26.034294758261165,0.148150194375724,wysokie ryzyko,47.04,914,0,3,0,0.0
Korsze,kętrzyński,WARMIŃSKO-MAZURSKIE,2808043,27.954409707015927,2.0489403656826415,25.905469341333287,0.9267042163595248,niskie ryzyko,49.33,836,0,3,0,0.0
Boguchwała,rzeszowski,PODKARPACKIE,1816033,73.0295169620799,47.32798565779763,25.701531304282273,0.3519334698273799,wysokie ryzyko,50.96,795,0,5,0,0.0
Jodłowa,dębicki,PODKARPACKIE,1803052,44.78132075166572,19.23923264574826,25.542088105917458,0.5703737111185443,wysokie ryzyko,56.51,634,0,3,0,0.0
Frysztak,strzyżowski,PODKARPACKIE,1819022,194.8812472374004,169.5270891993045,25.354158038095875,0.1301005530163194,wysokie ryzyko,46.84,921,0,6,0,0.0
Skołyszyn,jasielski,PODKARPACKIE,1805092,428.25103805549287,402.9251851273344,25.32585292815841,0.0591378669930431,wysokie ryzyko,44.71,990,0,7,0,0.0
Tczew,tczewski,POMORSKIE,2214011,4275.540678973928,4250.305009681465,25.235669292463648,0.0059023340408305,wysokie ryzyko,43.47,1035,0,1,0,0.0
Myszyniec,ostrołęcki,MAZOWIECKIE,1415083,198.35312254698843,173.2516949295855,25.101427617402912,0.1265491931515046,wysokie ryzyko,46.13,947,0,6,0,0.0
Wilków,namysłowski,OPOLSKIE,1606052,25.06873635826215,0.0,25.06873635826215,1.0,niskie ryzyko,51.84,771,0,3,0,0.0
Brodnica,śremski,WIELKOPOLSKIE,3026012,25.017907777751383,0.0,25.017907777751383,1.0,wysokie ryzyko,64.58,357,0,1,0,0.0
Dorohusk,chełmski,LUBELSKIE,0603042,66.83940436816032,41.8263627510884,25.01304161707192,0.3742259802211397,wysokie ryzyko,51.25,785,0,6,0,0.0
Stargard,stargardzki,ZACHODNIOPOMORSKIE,3214011,777.5649132104685,752.7812295225311,24.783683687937316,0.0318734593946743,wysokie ryzyko,45.53,960,0,2,0,0.0
Wejherowo,wejherowski,POMORSKIE,2215102,172.7834761729087,148.11118167403362,24.672294498875104,0.1427931365044706,wysokie ryzyko,46.79,925,0,4,0,0.0
Jeziora Wielkie,mogileński,KUJAWSKO-POMORSKIE,0409022,29.50632953590999,4.975737968961729,24.530591566948264,0.8313670982727241,wysokie ryzyko,62.06,439,0,2,0,0.0
Osjaków,wieluński,ŁÓDZKIE,1017053,31.826615773910124,7.390911946937628,24.435703826972496,0.7677757509802117,wysokie ryzyko,58.83,556,0,7,0,0.0
Bejsce,kazimierski,ŚWIĘTOKRZYSKIE,2603012,174.27223262831652,149.91568760597752,24.356545022339,0.1397614792385545,wysokie ryzyko,46.34,944,0,4,0,0.0
Włodawa,włodawski,LUBELSKIE,0619011,194.074075106841,169.87911292597056,24.19496218087046,0.1246686975967847,wysokie ryzyko,46.43,941,0,2,0,0.0
Miłkowice,legnicki,DOLNOŚLĄSKIE,0209062,316.30282665129283,292.1433689751391,24.159457676153774,0.0763807833522408,wysokie ryzyko,45.33,968,0,5,0,0.0
Wieleń,czarnkowsko-trzcianecki,WIELKOPOLSKIE,3002083,313.15296651705285,289.0295130137387,24.123453503314146,0.0770340890320146,wysokie ryzyko,45.33,969,0,4,0,0.0
Koszarawa,żywiecki,ŚLĄSKIE,2417052,51.09603187530187,27.052509947703733,24.043521927598135,0.4705555606798495,niskie ryzyko,41.22,1091,0,4,0,0.0
Garwolin,garwoliński,MAZOWIECKIE,1403042,189.5501096939838,165.5292824833196,24.0208272106642,0.126725472485583,wysokie ryzyko,46.43,942,0,4,0,0.0
Międzyrzecz,międzyrzecki,LUBUSKIE,0803023,79.55857255573098,55.936216463793215,23.62235609193776,0.2969177969525564,wysokie ryzyko,49.07,849,0,4,0,0.0
Łeba,lęborski,POMORSKIE,2208021,370.78037172173305,347.24674637859886,23.5336253431342,0.06347052632224,wysokie ryzyko,44.57,994,0,2,0,0.0
Wola Uhruska,włodawski,LUBELSKIE,0619072,31.69071591121266,8.176712611303252,23.514003299909405,0.741983973028195,wysokie ryzyko,57.6,600,0,6,0,0.0
Popów,kłobucki,ŚLĄSKIE,2406072,43.18026239841755,19.92781920053498,23.252443197882563,0.538497033281917,wysokie ryzyko,53.75,723,0,6,0,0.0
Gryfice,gryficki,ZACHODNIOPOMORSKIE,3205023,259.95819615278873,236.7581961527887,23.2,0.0892451184203646,wysokie ryzyko,44.93,981,0,2,0,0.0
Kadzidło,ostrołęcki,MAZOWIECKIE,1415052,36.053484315113266,12.858524233098125,23.194960082015143,0.6433486394626231,wysokie ryzyko,56.18,650,0,5,0,0.0
Dynów,rzeszowski,PODKARPACKIE,1816052,1034.3377408617366,1011.376107601466,22.96163326027049,0.0221993574759637,wysokie ryzyko,43.76,1024,0,7,0,0.0
Wicko,lęborski,POMORSKIE,2208052,22.8738279047648,0.0,22.8738279047648,1.0,wysokie ryzyko,62.87,412,0,4,0,0.0
Adamów,zamojski,LUBELSKIE,0620012,25.387551380736955,2.583706115861362,22.80384526487559,0.8982294086927276,niskie ryzyko,49.19,842,0,3,0,0.0
Nowa Sucha,sochaczewski,MAZOWIECKIE,1428052,186.86803468949333,164.1089767718357,22.75905791765762,0.1217921404025835,wysokie ryzyko,45.44,963,0,3,0,0.0
Wierzchlas,wieluński,ŁÓDZKIE,1017102,216.9085005535994,194.286614872898,22.621885680701364,0.1042922966272193,wysokie ryzyko,45.25,974,0,4,0,0.0
Międzyzdroje,kamieński,ZACHODNIOPOMORSKIE,3207043,34.30835480658663,11.702350511225276,22.606004295361355,0.6589066838909274,wysokie ryzyko,56.47,637,0,4,0,0.0
Cieszyn,cieszyński,ŚLĄSKIE,2403011,566.3359903035582,543.853945192363,22.482045111195255,0.0396973625129224,wysokie ryzyko,44.27,1007,0,4,0,0.0
Zawady,białostocki,PODLASKIE,2002152,52.22220255984334,29.754817812048607,22.46738474779473,0.430226678433345,wysokie ryzyko,51.63,778,0,3,0,0.0
Zdzieszowice,krapkowicki,OPOLSKIE,1605053,102.13696296550704,79.69223644293776,22.44472652256931,0.2197512621375787,wysokie ryzyko,47.57,887,0,4,0,0.0
Świętajno,olecki,WARMIŃSKO-MAZURSKIE,2813052,23.473569671384965,1.1962371029739025,22.27733256841106,0.9490389778921372,wysokie ryzyko,61.6,462,0,6,0,0.0
Żerków,jarociński,WIELKOPOLSKIE,3006043,422.96062169614464,400.90208615570555,22.05853554043903,0.0521526932034015,wysokie ryzyko,44.12,1014,0,3,0,0.0
Jabłonna Lacka,sokołowski,MAZOWIECKIE,1429042,100.56718249456374,78.65075345978948,21.916429034774257,0.2179282395224602,wysokie ryzyko,47.01,915,0,6,0,0.0
Osiek Jasielski,jasielski,PODKARPACKIE,1805082,211.0700634688821,189.4567547449583,21.613308723923787,0.1023987408195867,wysokie ryzyko,45.43,964,0,3,0,0.0
Kolonowskie,strzelecki,OPOLSKIE,1611033,210.15213746859823,188.55494484837453,21.597192620223694,0.1027693216941504,wysokie ryzyko,44.6,992,0,4,0,0.0
Radzanów,mławski,MAZOWIECKIE,1413042,65.2874011317507,43.70495169658141,21.58244943516929,0.3305760232608382,niskie ryzyko,37.7,1191,0,4,0,0.0
Pątnów,wieluński,ŁÓDZKIE,1017072,48.91258664049478,27.33497209845485,21.577614542039935,0.4411464619655957,wysokie ryzyko,51.58,780,0,4,0,0.0
Ostrowiec Świętokrzyski,ostrowiecki,ŚWIĘTOKRZYSKIE,2607011,360.34104129377147,338.84227374645735,21.498767547314102,0.0596622784629937,wysokie ryzyko,43.66,1030,0,3,0,0.0
Zakrzówek,kraśnicki,LUBELSKIE,0607102,54.77132246995408,33.31223736539299,21.459085104561087,0.3917941750691323,wysokie ryzyko,51.39,782,0,3,0,0.0
Stare Miasto,koniński,WIELKOPOLSKIE,3010112,374.78730544941936,353.35534161562805,21.431963833791315,0.0571843376821196,wysokie ryzyko,44.32,1004,0,4,0,0.0
Goleszów,cieszyński,ŚLĄSKIE,2403072,92.07002061201928,70.86520239436214,21.20481821765712,0.2303118656507495,wysokie ryzyko,48.4,865,0,3,0,0.0
Korczyna,krośnieński,PODKARPACKIE,1807052,94.4835507861791,73.31660377682667,21.16694700935243,0.2240278528191036,niskie ryzyko,35.76,1240,0,3,0,0.0
Wieniawa,przysuski,MAZOWIECKIE,1423082,27.13892945065442,5.99400960617244,21.14491984448198,0.7791361071529701,wysokie ryzyko,58.47,566,0,2,0,0.0
Grodzisko Dolne,leżajski,PODKARPACKIE,1808022,111.28350418102566,90.2198818474606,21.063622333565043,0.1892789276234571,wysokie ryzyko,47.21,907,0,2,0,0.0
Lubaczów,lubaczowski,PODKARPACKIE,1809011,81.51726733185208,60.52276257046256,20.994504761389525,0.2575467192235739,wysokie ryzyko,50.45,810,0,2,0,0.0
Damnica,słupski,POMORSKIE,2212022,21.193278934830087,0.2107452590455692,20.982533675784516,0.990056033344646,niskie ryzyko,55.74,661,0,1,0,0.0
Walim,wałbrzyski,DOLNOŚLĄSKIE,0221082,54.957642343377415,34.1362116030861,20.821430740291312,0.3788632454463426,wysokie ryzyko,51.24,787,0,4,0,0.0
Kłobuck,kłobucki,ŚLĄSKIE,2406013,103.79494194436955,82.98544464748073,20.809497296888836,0.2004866220556488,niskie ryzyko,34.39,1268,0,4,0,0.0
Nowy Żmigród,jasielski,PODKARPACKIE,1805072,205.19714642533268,184.4279688796707,20.769177545661996,0.101215723061819,wysokie ryzyko,45.36,966,0,3,0,0.0
Kórnik,poznański,WIELKOPOLSKIE,3021093,21.241537179950193,0.5127497809079006,20.728787399042293,0.97586098517428,niskie ryzyko,49.79,825,0,2,0,0.0
Jedlina-Zdrój,wałbrzyski,DOLNOŚLĄSKIE,0221021,82.70836144431061,61.99070611927159,20.71765532503902,0.2504904578358583,wysokie ryzyko,49.16,845,0,3,0,0.0
Jedwabne,łomżyński,PODLASKIE,2007013,20.592553681648223,0.0,20.592553681648223,1.0,wysokie ryzyko,62.05,440,0,0,0,0.0
Łodygowice,żywiecki,ŚLĄSKIE,2417082,77.51931308553097,57.06869627298019,20.450616812550784,0.2638131840769356,wysokie ryzyko,48.82,853,0,3,0,0.0
Krupski Młyn,tarnogórski,ŚLĄSKIE,2413052,207.44515307715943,187.0455902337052,20.399562843454284,0.0983371389538643,wysokie ryzyko,44.73,989,0,2,0,0.0
Stąporków,konecki,ŚWIĘTOKRZYSKIE,2605083,30.452820921247323,10.256395662861337,20.196425258385982,0.6632037573995216,wysokie ryzyko,55.96,654,0,5,0,0.0
Szczerców,bełchatowski,ŁÓDZKIE,1001072,85.78567998872003,65.79375370166943,19.9919262870506,0.2330450290733761,wysokie ryzyko,47.22,906,0,3,0,0.0
Swarzędz,poznański,WIELKOPOLSKIE,3021163,20.840750803038652,0.8996823726160563,19.941068430422597,0.956830616079106,niskie ryzyko,49.51,830,0,3,0,0.0
Zebrzydowice,cieszyński,ŚLĄSKIE,2403122,235.52252573194363,215.71823252354704,19.804293208396608,0.084086620364018,wysokie ryzyko,44.37,999,0,5,0,0.0
Klukowo,wysokomazowiecki,PODLASKIE,2013042,33.520433000115915,13.728604488634222,19.791828511481697,0.5904407174994802,wysokie ryzyko,55.13,682,0,1,0,0.0
Chojnice,chojnicki,POMORSKIE,2202032,40.236732058998946,20.454055482351876,19.782676576647063,0.4916571392438086,wysokie ryzyko,52.85,744,0,4,0,0.0
Białogard,białogardzki,ZACHODNIOPOMORSKIE,3201022,19.777317271048503,0.0,19.777317271048503,1.0,wysokie ryzyko,61.93,446,0,7,0,0.0
Wąwolnica,puławski,LUBELSKIE,0614103,229.10581631854055,209.35034195528664,19.755474363253946,0.0862286024890203,wysokie ryzyko,44.74,988,0,4,0,0.0
Blachownia,częstochowski,ŚLĄSKIE,2404013,19.733397828648087,0.0,19.733397828648087,1.0,wysokie ryzyko,62.15,433,0,1,0,0.0
Chorzele,przasnyski,MAZOWIECKIE,1422023,88.92076046220336,69.19176649903481,19.728993963168545,0.2218716288594331,wysokie ryzyko,47.74,881,0,3,0,0.0
Hrubieszów,hrubieszowski,LUBELSKIE,0604042,33.61361553715907,14.06066995251775,19.55294558464132,0.5816971864578505,niskie ryzyko,41.49,1083,0,7,0,0.0
Łaszczów,tomaszowski,LUBELSKIE,0618063,20.0970201824259,0.6471845134954131,19.44983566893049,0.9677969914136152,wysokie ryzyko,61.63,460,0,2,0,0.0
Ujazd,tomaszowski,ŁÓDZKIE,1016103,188.238506998993,168.96297065816077,19.275536340832225,0.1023995390110873,wysokie ryzyko,44.57,995,0,4,0,0.0
Przedbórz,radomszczański,ŁÓDZKIE,1012113,85.67451665632582,66.42210842642537,19.252408229900468,0.2247156912145702,niskie ryzyko,34.51,1266,0,3,0,0.0
Tyczyn,rzeszowski,PODKARPACKIE,1816143,28.05046510601663,8.869228021646736,19.18123708436989,0.6838117304605993,wysokie ryzyko,58.22,577,0,2,0,0.0
Żarki,myszkowski,ŚLĄSKIE,2409053,19.11107591769239,0.0,19.11107591769239,1.0,wysokie ryzyko,63.08,404,0,1,0,0.0
Sobków,jędrzejowski,ŚWIĘTOKRZYSKIE,2602083,162.36501220589088,143.32133609854617,19.04367610734471,0.1172892844869553,wysokie ryzyko,45.88,952,0,2,0,0.0
Jarocin,niżański,PODKARPACKIE,1812022,19.03591292269308,0.0,19.03591292269308,1.0,wysokie ryzyko,61.89,448,0,3,0,0.0
Gierałtowice,gliwicki,ŚLĄSKIE,2405032,937.9875431356322,919.2819364496344,18.70560668599795,0.0199422762305204,wysokie ryzyko,43.06,1042,0,3,0,0.0
Kamienica,limanowski,MAŁOPOLSKIE,1207052,54.96955750999455,36.35079673515923,18.618760774835323,0.3387103993232993,niskie ryzyko,36.49,1225,0,4,0,0.0
Zbąszyń,nowotomyski,WIELKOPOLSKIE,3015063,410.0454144383634,391.4557605574725,18.589653880890904,0.0453355975370509,wysokie ryzyko,45.2,975,0,1,0,0.0
Zabrze,Zabrze,ŚLĄSKIE,2478011,40.63510071189379,22.065499698257216,18.56960101363657,0.456984249781896,wysokie ryzyko,51.2,788,0,4,0,0.0
Żnin,żniński,KUJAWSKO-POMORSKIE,0419063,110.17999348005846,91.62196464229896,18.558028837759498,0.1684337441998335,niskie ryzyko,35.15,1255,0,2,0,0.0
Nawojowa,nowosądecki,MAŁOPOLSKIE,1210122,18.52652030409009,0.0,18.52652030409009,1.0,niskie ryzyko,49.45,831,0,6,0,0.0
Odolanów,ostrowski,WIELKOPOLSKIE,3017033,1328.4463271746145,1310.0427933637477,18.403533810866673,0.0138534266943309,wysokie ryzyko,42.83,1049,0,2,0,0.0
Stanisławów,miński,MAZOWIECKIE,1412143,40.88384733766878,22.62598436722144,18.257862970447345,0.4465788852906038,wysokie ryzyko,53.08,737,0,2,0,0.0
Dobra,limanowski,MAŁOPOLSKIE,1207032,20.59145780144019,2.3974436251814017,18.194014176258783,0.8835709618862574,niskie ryzyko,47.47,895,0,5,0,0.0
Skierniewice,skierniewicki,ŁÓDZKIE,1015082,62.77130162973818,44.637690427480905,18.13361120225728,0.2888837849694421,wysokie ryzyko,47.76,880,0,7,0,0.0
Pokój,namysłowski,OPOLSKIE,1606032,55.53458103259153,37.43716764216309,18.09741339042844,0.3258764728918658,wysokie ryzyko,48.38,866,0,5,0,0.0
Chełm,chełmski,LUBELSKIE,0603032,25.02623314683113,7.013302832822889,18.012930314008244,0.7197619477260034,niskie ryzyko,45.04,978,0,3,0,0.0
Kalwaria Zebrzydowska,wadowicki,MAŁOPOLSKIE,1218033,22.356414952548153,4.472007205259487,17.884407747288666,0.7999676059533072,wysokie ryzyko,59.09,545,0,3,0,0.0
Maków Mazowiecki,makowski,MAZOWIECKIE,1411011,26.670484073896212,8.865095396584438,17.80538867731177,0.6676065056778939,niskie ryzyko,43.91,1019,0,1,0,0.0
Brzeg,brzeski,OPOLSKIE,1601011,1517.713229565033,1499.9493985172594,17.76383104777385,0.0117043395957382,wysokie ryzyko,42.57,1057,0,1,0,0.0
Smołdzino,słupski,POMORSKIE,2212092,129.82822051459323,112.0763968405624,17.751823674030828,0.1367331663614341,wysokie ryzyko,44.41,998,0,3,0,0.0
Wołomin,wołomiński,MAZOWIECKIE,1434123,31.88230522638152,14.375223537172808,17.50708168920871,0.5491159301342551,wysokie ryzyko,53.05,739,0,4,0,0.0
Aleksandrów Łódzki,zgierski,ŁÓDZKIE,1020043,20.963733455005,3.501551984903686,17.462181470101317,0.8329709737810226,niskie ryzyko,45.81,953,0,5,0,0.0
Praszka,oleski,OPOLSKIE,1608043,54.80364525407937,37.398418514464595,17.405226739614776,0.3175925006251148,wysokie ryzyko,48.82,854,0,3,0,0.0
Augustów,augustowski,PODLASKIE,2001022,17.356508378672775,0.0,17.356508378672775,1.0,niskie ryzyko,50.38,813,0,2,0,0.0
Miedźno,kłobucki,ŚLĄSKIE,2406042,113.84970706314252,96.53194498368856,17.31776207945397,0.1521107302441219,wysokie ryzyko,44.33,1003,0,4,0,0.0
Kołbaskowo,policki,ZACHODNIOPOMORSKIE,3211022,22.77566501248797,5.50633892012905,17.269326092358924,0.7582358663463875,wysokie ryzyko,56.75,625,0,1,0,0.0
Kondratowice,strzeliński,DOLNOŚLĄSKIE,0217022,176.9851697521051,159.76037200604003,17.22479774606505,0.0973233959104654,wysokie ryzyko,43.57,1032,0,2,0,0.0
Miastko,bytowski,POMORSKIE,2201063,17.09542534680327,0.0,17.09542534680327,1.0,niskie ryzyko,50.28,815,0,2,0,0.0
Koziegłowy,myszkowski,ŚLĄSKIE,2409023,22.196335453854132,5.181359509799824,17.01497594405431,0.7665668947663998,niskie ryzyko,44.34,1001,0,3,0,0.0
Murowana Goślina,poznański,WIELKOPOLSKIE,3021113,17.002665237401672,0.0,17.002665237401672,1.0,wysokie ryzyko,61.16,474,0,1,0,0.0
Zagórów,słupecki,WIELKOPOLSKIE,3023083,150.55538397631844,133.55538397631844,17.0,0.1129152578341137,wysokie ryzyko,43.86,1022,0,2,0,0.0
Kluczewsko,włoszczowski,ŚWIĘTOKRZYSKIE,2613012,64.75444600384378,47.76555260371454,16.988893400129246,0.2623587174094702,niskie ryzyko,38.88,1154,0,1,0,0.0
Nowy Kawęczyn,skierniewicki,ŁÓDZKIE,1015072,25.64652687405659,8.851103869344144,16.79542300471245,0.65488099371858,niskie ryzyko,42.13,1070,0,5,0,0.0
Przeworno,strzeliński,DOLNOŚLĄSKIE,0217032,34.86147385474398,18.072863856804993,16.788609997938984,0.4815806144023477,niskie ryzyko,40.62,1108,0,2,0,0.0
Pokrzywnica,pułtuski,MAZOWIECKIE,1424032,20.286376221817648,3.674359167401656,16.612017054415993,0.8188755287181382,niskie ryzyko,45.42,965,0,1,0,0.0
Zduny,łowicki,ŁÓDZKIE,1005102,16.52769200471394,0.0,16.52769200471394,1.0,wysokie ryzyko,62.13,435,0,2,0,0.0
Szydłów,staszowski,ŚWIĘTOKRZYSKIE,2612083,34.12979762313624,17.6237467079629,16.506050915173343,0.483625806910266,wysokie ryzyko,50.85,799,0,4,0,0.0
Korfantów,nyski,OPOLSKIE,1607033,53.99933548964347,37.56376180622492,16.43557368341856,0.3043662210726785,niskie ryzyko,35.06,1258,0,2,0,0.0
Główczyce,słupski,POMORSKIE,2212042,19.349993203481628,3.213995443313911,16.135997760167715,0.8339019859327071,wysokie ryzyko,57.88,589,0,2,0,0.0
