gmina,powiat,wojewodztwo,teryt_gmi,pop_risk_total,pop_ge65,pop_outside_ge65,outside_share,risk_class_max,priority_score_v12,rank,new_large_siren_gap_count,gap_count_not_priced_as_integration,estimated_new_siren_gap_cost_pln,new_siren_cost_per_pop_outside_ge65_pln
Lichnowy,malborski,POMORSKIE,2209032,2052.29440114308,1124.9121015226824,927.3822996203976,0.4518758610381957,wysokie ryzyko,73.86,120,2,26,80000,86.26
Igołomia-Wawrzeńczyce,krakowski,MAŁOPOLSKIE,1206022,1712.517572281506,788.5721970055877,923.9453752759184,0.5395246099839955,wysokie ryzyko,75.03,97,1,17,40000,43.29
Wilamowice,bielski,ŚLĄSKIE,2402093,1214.9610017875784,294.7012217708716,920.2597800167066,0.7574397685709447,wysokie ryzyko,79.29,38,1,20,40000,43.47
Poczesna,częstochowski,ŚLĄSKIE,2404132,1772.9530791796085,861.8172488944479,911.1358302851604,0.5139085974608909,wysokie ryzyko,74.31,111,2,10,80000,87.8
Koprzywnica,sandomierski,ŚWIĘTOKRZYSKIE,2609043,2404.53995878705,1495.1757559355574,909.3642028514928,0.3781863551605163,wysokie ryzyko,71.48,170,1,9,40000,43.99
Nowy Korczyn,buski,ŚWIĘTOKRZYSKIE,2601033,3614.826830933432,2708.4021686545266,906.4246622789046,0.2507518906638316,wysokie ryzyko,68.57,239,0,37,0,0.0
Słubice,słubicki,LUBUSKIE,0805053,993.074605923378,86.67349462093048,906.4011113024476,0.9127220713288304,wysokie ryzyko,81.11,23,1,19,40000,44.13
Przemyśl,Przemyśl,PODKARPACKIE,1862011,28036.25564385989,27131.2649117134,904.990732146488,0.0322793009038882,wysokie ryzyko,66.77,291,2,6,80000,88.4
Świdnica,świdnicki,DOLNOŚLĄSKIE,0219072,1188.0869301776108,295.5134572181164,892.5734729594944,0.7512694991317351,wysokie ryzyko,80.7,27,3,15,120000,134.44
Medyka,przemyski,PODKARPACKIE,1813062,3851.227318385298,2960.5124254184893,890.714892966809,0.2312807890395466,wysokie ryzyko,68.66,238,2,11,80000,89.82
Lubań,lubański,DOLNOŚLĄSKIE,0210042,884.8140513882124,0.960148647062181,883.8539027411503,0.9989148582738308,wysokie ryzyko,83.64,8,1,23,40000,45.26
Lelis,ostrołęcki,MAZOWIECKIE,1415062,1903.1920022329648,1025.344368254153,877.8476339788112,0.4612501696880062,wysokie ryzyko,72.29,147,0,37,0,0.0
Sadowne,węgrowski,MAZOWIECKIE,1433072,1492.2413500777077,616.2837710095519,875.9575790681557,0.5870079789857993,wysokie ryzyko,74.86,100,0,73,0,0.0
