candidate_id,nr_ref,wojewodztwo,powiat,gmina,teryt_gmi,recommended_action,priority_class,priority_score_v13,risk_class,recommended_power_class_w,new_pop_ge65_proxy,flood_risk_pop_ge65_gain_proxy,redundancy_gain_pop_proxy,failure_loss_pop_night_proxy,estimated_cost_pln,cost_per_new_person_ge65_pln,candidate_lat,candidate_lon,candidate_source,candidate_type,effect_method
EXIST-SOiA-20260420-36504,SOiA-20260420-36504,DOLNOŚLĄSKIE,polkowicki,Polkowice,,integracja,A,87.32,,900,0.0,0.0,0.0,2986.86,5000,0.0,51.49997,16.072263,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-66342,SOiA-20260422-66342,PODLASKIE,zambrowski,Zambrów,,integracja,A,87.32,,1200,0.0,0.0,0.0,2986.19,5000,0.0,52.977833,22.241387,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
NEW-12785,,LUBUSKIE,słubicki,Słubice,0805053,walidacja_terenowa,A,87.31,wysokie ryzyko,600,94.78,94.78,0.0,0.0,0,0.0,52.3568739,14.573906,nearest_public_osm_object,office,gap_population_proxy
EXIST-SOiA-20260407-54494,SOiA-20260407-54494,MAZOWIECKIE,sochaczewski,Sochaczew,,integracja,A,87.31,,900,0.0,0.0,0.0,2980.54,5000,0.0,52.229881,20.229529,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-86588,SOiA-20260423-86588,PODKARPACKIE,stalowowolski,Stalowa Wola,,integracja,A,87.31,,900,0.0,0.0,0.0,2979.29,5000,0.0,50.539001,22.078234,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260409-77691,SOiA-20260409-77691,ŚLĄSKIE,m. Rybnik,Rybnik,,integracja,A,87.31,,900,0.0,0.0,0.0,2978.76,5000,0.0,50.063492,18.550568,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-37713,SOiA-20260422-37713,ŚLĄSKIE,m. Sosnowiec,Sosnowiec,,integracja,A,87.31,,800,0.0,0.0,0.0,2977.93,5000,0.0,50.289426,19.266286,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260415-23852,SOiA-20260415-23852,LUBUSKIE,m. Zielona Góra,Zielona Góra,,integracja,A,87.31,,1200,0.0,0.0,0.0,2977.26,5000,0.0,51.965382,15.532079,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260421-21740,SOiA-20260421-21740,ŁÓDZKIE,zduńskowolski,Zduńska Wola,,integracja,A,87.31,,1200,0.0,0.0,0.0,2975.87,5000,0.0,51.605835,18.934634,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-00235,SOiA-20260424-00235,MAZOWIECKIE,Warszawa,Śródmieście,,integracja,A,87.31,,900,0.0,0.0,0.0,2975.05,5000,0.0,52.24695,20.993247,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260419-68558,SOiA-20260419-68558,ŚWIĘTOKRZYSKIE,jędrzejowski,Jędrzejów,,integracja,A,87.31,,600,0.0,0.0,0.0,2974.48,5000,0.0,50.64099,20.300127,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260415-97877,SOiA-20260415-97877,WIELKOPOLSKIE,m. Leszno,Leszno,,integracja,A,87.3,,900,0.0,0.0,0.0,2969.49,5000,0.0,51.818889,16.582083,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-82724,SOiA-20260422-82724,OPOLSKIE,m. Opole,Opole,,integracja,A,87.3,,1800,0.0,0.0,0.0,2969.02,5000,0.0,50.600481,17.960993,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260409-69170,SOiA-20260409-69170,POMORSKIE,pucki,Hel,,integracja,A,87.29,,1500,0.0,0.0,0.0,2965.88,5000,0.0,54.605654,18.801505,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-12434,SOiA-20260423-12434,KUJAWSKO-POMORSKIE,m. Toruń,Toruń,,integracja,A,87.29,,300,0.0,0.0,0.0,2964.71,5000,0.0,53.027868,18.660406,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-56233,SOiA-20260424-56233,MAZOWIECKIE,ostrowski,Ostrów Mazowiecka,,integracja,A,87.29,,900,0.0,0.0,0.0,2962.6,5000,0.0,52.798818,21.912602,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
