risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,poziom,teryt_woj,wojewodztwo,teryt_pow,powiat,teryt_gmi,gmina
wysokie ryzyko,81.1149195916349,77.3835525545601,81.1149195916349,77.3835525545601,0.0,0.0,powiat,02,DOLNOŚLĄSKIE,0216,polkowicki,,
niskie ryzyko,497.0512433129289,455.81264788368264,375.6168755003974,334.5053956230514,121.43436781253152,121.3072522606312,powiat,02,DOLNOŚLĄSKIE,0217,strzeliński,,
wysokie ryzyko,429.2580709957125,380.1185290157,399.75461917565895,350.6150771956465,29.50345182005352,29.503451820053517,powiat,02,DOLNOŚLĄSKIE,0217,strzeliński,,
niskie ryzyko,1910.492829306648,1847.3570716718264,1032.5828512831215,982.3093562996152,877.9099780235263,865.0477153722111,powiat,02,DOLNOŚLĄSKIE,0220,trzebnicki,,
wysokie ryzyko,3090.61054223896,3026.379780114497,2134.397495944919,2084.290175308084,956.2130462940416,942.0896048064128,powiat,02,DOLNOŚLĄSKIE,0220,trzebnicki,,
niskie ryzyko,402.59194242909587,397.42473227100606,310.36574346617573,286.6232565465479,92.22619896292014,110.80147572445811,powiat,02,DOLNOŚLĄSKIE,0221,wałbrzyski,,
wysokie ryzyko,213.77554885146728,201.38628823674853,168.82440805063266,158.04655186760692,44.95114080083464,43.339736369141605,powiat,02,DOLNOŚLĄSKIE,0221,wałbrzyski,,
niskie ryzyko,1265.817484029523,1259.7622532009946,632.546311781315,640.5995224038245,633.2711722482081,619.1627307971702,powiat,02,DOLNOŚLĄSKIE,0222,wołowski,,
wysokie ryzyko,1989.1263540263983,1989.7386755009993,1360.561792550718,1356.5873770145076,628.5645614756808,633.1512984864917,powiat,02,DOLNOŚLĄSKIE,0222,wołowski,,
niskie ryzyko,10950.78694429478,10731.577165547576,5424.457587105575,5267.684960131197,5526.329357189207,5463.892205416378,powiat,02,DOLNOŚLĄSKIE,0223,wrocławski,,
wysokie ryzyko,14721.340427700892,14997.15491318355,7788.886937623353,7863.326176840472,6932.453490077541,7133.828736343079,powiat,02,DOLNOŚLĄSKIE,0223,wrocławski,,
niskie ryzyko,977.8187212754992,953.5509771610292,707.0987042103962,695.3128150534394,270.72001706510287,258.2381621075899,powiat,02,DOLNOŚLĄSKIE,0225,zgorzelecki,,
wysokie ryzyko,1672.6952498376631,1830.1110725147205,1436.9255933199477,1588.1478873720507,235.76965651771584,241.96318514266991,powiat,02,DOLNOŚLĄSKIE,0225,zgorzelecki,,
niskie ryzyko,721.3682554450459,691.7078852516681,622.5921144411546,574.8501067563482,98.77614100389115,116.85777849531996,powiat,02,DOLNOŚLĄSKIE,0224,ząbkowicki,,
wysokie ryzyko,1580.0247792761256,1891.5636322547452,1481.202909326709,1807.5387501341731,98.82186994941652,84.02488212057222,powiat,02,DOLNOŚLĄSKIE,0224,ząbkowicki,,
niskie ryzyko,739.3776846891726,715.2882225981358,373.9058123113835,355.7430509505555,365.47187237778905,359.54517164758033,powiat,02,DOLNOŚLĄSKIE,0226,złotoryjski,,
wysokie ryzyko,1098.1206348061733,824.2137461681225,593.9829855659348,332.74896936650686,504.13764924023855,491.4647768016157,powiat,02,DOLNOŚLĄSKIE,0226,złotoryjski,,
niskie ryzyko,2194.9487239818045,2184.4741996350717,405.5384767034196,413.4184131066839,1789.4102472783843,1771.0557865283877,powiat,02,DOLNOŚLĄSKIE,0218,średzki,,
wysokie ryzyko,2141.748470647955,2147.1430962952754,484.8409972243731,485.9095238137092,1656.907473423582,1661.2335724815662,powiat,02,DOLNOŚLĄSKIE,0218,średzki,,
niskie ryzyko,3472.4870685608676,3299.8402009056977,1268.8329219969114,1237.9272460589614,2203.654146563956,2061.9129548467367,powiat,02,DOLNOŚLĄSKIE,0219,świdnicki,,
wysokie ryzyko,8567.703715472107,8846.799504696555,2414.5842468708206,2341.678516008862,6153.119468601287,6505.120988687694,powiat,02,DOLNOŚLĄSKIE,0219,świdnicki,,
niskie ryzyko,2435.7366260685344,2248.363273485287,1652.209954805233,1492.569168615688,783.5266712633011,755.7941048695991,powiat,04,KUJAWSKO-POMORSKIE,0461,Bydgoszcz,,
wysokie ryzyko,5358.448028164148,5850.374253279776,4230.975151400939,4693.345524303285,1127.47287676321,1157.0287289764904,powiat,04,KUJAWSKO-POMORSKIE,0461,Bydgoszcz,,
niskie ryzyko,265.60930215888527,246.41376495460625,100.33792209516504,83.14081917742755,165.27138006372024,163.27294577717868,powiat,04,KUJAWSKO-POMORSKIE,0462,Grudziądz,,
wysokie ryzyko,361.02228559872583,855.0794436749985,243.2728403807483,740.3951791386853,117.74944521797752,114.68426453631324,powiat,04,KUJAWSKO-POMORSKIE,0462,Grudziądz,,
niskie ryzyko,1101.1342189470824,1201.4474646915646,607.7809794451006,752.2513530982708,493.353239501982,449.1961115932937,powiat,04,KUJAWSKO-POMORSKIE,0463,Toruń,,
wysokie ryzyko,1400.0825874502416,1841.2623018145105,567.4941338437934,1007.4477347660992,832.5884536064483,833.8145670484112,powiat,04,KUJAWSKO-POMORSKIE,0463,Toruń,,
niskie ryzyko,977.5187792771844,1311.1914790117744,126.17640512422842,118.85900696381088,851.3423741529559,1192.3324720479636,powiat,04,KUJAWSKO-POMORSKIE,0464,Włocławek,,
wysokie ryzyko,3652.9027850341786,3128.752041901136,62.68202538492806,52.77872657907432,3590.220759649251,3075.973315322062,powiat,04,KUJAWSKO-POMORSKIE,0464,Włocławek,,
niskie ryzyko,2967.9528245430283,3004.568034702823,2653.164726015805,2703.343931840298,314.7880985272234,301.2241028625248,powiat,04,KUJAWSKO-POMORSKIE,0401,aleksandrowski,,
wysokie ryzyko,5861.409137330588,5455.97321412123,5789.412194913784,5385.992939342165,71.9969424168036,69.98027477906408,powiat,04,KUJAWSKO-POMORSKIE,0401,aleksandrowski,,
niskie ryzyko,198.7442187966055,182.12021074145892,190.72282161456516,175.15786206836543,8.02139718204037,6.962348673093489,powiat,04,KUJAWSKO-POMORSKIE,0402,brodnicki,,
wysokie ryzyko,555.9255782939249,694.9236364285304,463.2844332727578,645.2944762148524,92.64114502116718,49.62916021367799,powiat,04,KUJAWSKO-POMORSKIE,0402,brodnicki,,
