wojewodztwo,powiat,gmina,wojewodztwo_key,powiat_key,gmina_key,siren_records_without_gsm,unique_sites_without_gsm,integration_cost_records_pln,integration_cost_unique_sites_pln
WIELKOPOLSKIE,m. Poznań,Poznań,wielkopolskie,m_poznan,poznan,131,131,655000,655000
MAŁOPOLSKIE,m. Kraków,Kraków,malopolskie,m_krakow,krakow,99,97,495000,485000
PODLASKIE,m. Białystok,Białystok,podlaskie,m_bialystok,bialystok,99,99,495000,495000
POMORSKIE,m. Gdańsk,Gdańsk,pomorskie,m_gdansk,gdansk,95,94,475000,470000
ZACHODNIOPOMORSKIE,m. Szczecin,Szczecin,zachodniopomorskie,m_szczecin,szczecin,86,79,430000,395000
ŚLĄSKIE,m. Częstochowa,Częstochowa,slaskie,m_czestochowa,czestochowa,80,80,400000,400000
KUJAWSKO-POMORSKIE,m. Bydgoszcz,Bydgoszcz,kujawsko_pomorskie,m_bydgoszcz,bydgoszcz,79,79,395000,395000
POMORSKIE,m. Gdynia,Gdynia,pomorskie,m_gdynia,gdynia,69,68,345000,340000
MAZOWIECKIE,Warszawa,Śródmieście,mazowieckie,warszawa,srodmiescie,63,63,315000,315000
ŁÓDZKIE,m. Łódź,Łódź,lodzkie,m_lodz,lodz,56,55,280000,275000
DOLNOŚLĄSKIE,m. Wrocław,Wrocław,dolnoslaskie,m_wroclaw,wroclaw,55,55,275000,275000
PODKARPACKIE,m. Rzeszów,Rzeszów,podkarpackie,m_rzeszow,rzeszow,53,50,265000,250000
ŚLĄSKIE,m. Dąbrowa Górnicza,Dąbrowa Górnicza,slaskie,m_dabrowa_gornicza,dabrowa_gornicza,52,51,260000,255000
KUJAWSKO-POMORSKIE,m. Toruń,Toruń,kujawsko_pomorskie,m_torun,torun,51,50,255000,250000
WARMIŃSKO-MAZURSKIE,m. Olsztyn,Olsztyn,warminsko_mazurskie,m_olsztyn,olsztyn,51,51,255000,255000
MAZOWIECKIE,m. Płock,Płock,mazowieckie,m_plock,plock,47,46,235000,230000
MAZOWIECKIE,m. Radom,Radom,mazowieckie,m_radom,radom,46,46,230000,230000
LUBELSKIE,m. Lublin,Lublin,lubelskie,m_lublin,lublin,45,45,225000,225000
WIELKOPOLSKIE,ostrowski,Ostrów Wielkopolski,wielkopolskie,ostrowski,ostrow_wielkopolski,45,45,225000,225000
LUBUSKIE,m. Zielona Góra,Zielona Góra,lubuskie,m_zielona_gora,zielona_gora,44,43,220000,215000
OPOLSKIE,kędzierzyńsko-kozielski,Kędzierzyn-Koźle,opolskie,kedzierzynsko_kozielski,kedzierzyn_kozle,44,43,220000,215000
ŚLĄSKIE,m. Katowice,Katowice,slaskie,m_katowice,katowice,44,44,220000,220000
MAZOWIECKIE,Warszawa,Mokotów,mazowieckie,warszawa,mokotow,43,42,215000,210000
ŚWIĘTOKRZYSKIE,m. Kielce,Kielce,swietokrzyskie,m_kielce,kielce,41,40,205000,200000
MAZOWIECKIE,Warszawa,Bielany,mazowieckie,warszawa,bielany,38,36,190000,180000
ŚLĄSKIE,m. Bielsko-Biała,Bielsko-Biała,slaskie,m_bielsko_biala,bielsko_biala,38,37,190000,185000
MAZOWIECKIE,Warszawa,Praga-Południe,mazowieckie,warszawa,praga_poludnie,37,35,185000,175000
WIELKOPOLSKIE,m. Konin,Konin,wielkopolskie,m_konin,konin,37,32,185000,160000
LUBELSKIE,puławski,Puławy,lubelskie,pulawski,pulawy,36,36,180000,180000
WIELKOPOLSKIE,m. Kalisz,Kalisz,wielkopolskie,m_kalisz,kalisz,36,34,180000,170000
ŚLĄSKIE,m. Gliwice,Gliwice,slaskie,m_gliwice,gliwice,35,35,175000,175000
DOLNOŚLĄSKIE,m. Legnica,Legnica,dolnoslaskie,m_legnica,legnica,34,34,170000,170000
ŚLĄSKIE,m. Rybnik,Rybnik,slaskie,m_rybnik,rybnik,34,34,170000,170000
POMORSKIE,chojnicki,Chojnice,pomorskie,chojnicki,chojnice,33,30,165000,150000
MAZOWIECKIE,Warszawa,Wola,mazowieckie,warszawa,wola,32,32,160000,160000
MAZOWIECKIE,przasnyski,Chorzele,mazowieckie,przasnyski,chorzele,32,32,160000,160000
DOLNOŚLĄSKIE,m. Jelenia Góra,Jelenia Góra,dolnoslaskie,m_jelenia_gora,jelenia_gora,31,31,155000,155000
MAZOWIECKIE,Warszawa,Ursynów,mazowieckie,warszawa,ursynow,31,31,155000,155000
PODKARPACKIE,jasielski,Jasło,podkarpackie,jasielski,jaslo,31,31,155000,155000
ŚLĄSKIE,m. Bytom,Bytom,slaskie,m_bytom,bytom,31,31,155000,155000
MAZOWIECKIE,Warszawa,Bemowo,mazowieckie,warszawa,bemowo,30,28,150000,140000
MAZOWIECKIE,sokołowski,Sokołów Podlaski,mazowieckie,sokolowski,sokolow_podlaski,30,30,150000,150000
LUBUSKIE,m. Gorzów Wielkopolski,Gorzów Wielkopolski,lubuskie,m_gorzow_wielkopolski,gorzow_wielkopolski,29,29,145000,145000
MAZOWIECKIE,m. Ostrołęka,Ostrołęka,mazowieckie,m_ostroleka,ostroleka,29,28,145000,140000
ŁÓDZKIE,sieradzki,Sieradz,lodzkie,sieradzki,sieradz,29,29,145000,145000
MAŁOPOLSKIE,nowotarski,Nowy Targ,malopolskie,nowotarski,nowy_targ,28,28,140000,140000
WARMIŃSKO-MAZURSKIE,iławski,Iława,warminsko_mazurskie,ilawski,ilawa,28,28,140000,140000
ŚLĄSKIE,m. Jaworzno,Jaworzno,slaskie,m_jaworzno,jaworzno,28,27,140000,135000
MAZOWIECKIE,Warszawa,Targówek,mazowieckie,warszawa,targowek,27,27,135000,135000
MAZOWIECKIE,ostrowski,Ostrów Mazowiecka,mazowieckie,ostrowski,ostrow_mazowiecka,27,27,135000,135000
MAŁOPOLSKIE,olkuski,Olkusz,malopolskie,olkuski,olkusz,27,27,135000,135000
POMORSKIE,wejherowski,Wejherowo,pomorskie,wejherowski,wejherowo,27,22,135000,110000
ŚLĄSKIE,m. Tychy,Tychy,slaskie,m_tychy,tychy,27,27,135000,135000
KUJAWSKO-POMORSKIE,bydgoski,Koronowo,kujawsko_pomorskie,bydgoski,koronowo,26,23,130000,115000
POMORSKIE,gdański,Cedry Wielkie,pomorskie,gdanski,cedry_wielkie,26,26,130000,130000
WIELKOPOLSKIE,jarociński,Jarocin,wielkopolskie,jarocinski,jarocin,26,25,130000,125000
WIELKOPOLSKIE,m. Leszno,Leszno,wielkopolskie,m_leszno,leszno,26,26,130000,130000
ŁÓDZKIE,kutnowski,Kutno,lodzkie,kutnowski,kutno,26,26,130000,130000
ŁÓDZKIE,tomaszowski,Tomaszów Mazowiecki,lodzkie,tomaszowski,tomaszow_mazowiecki,26,26,130000,130000
ŚLĄSKIE,m. Ruda Śląska,Ruda Śląska,slaskie,m_ruda_slaska,ruda_slaska,26,26,130000,130000
WIELKOPOLSKIE,gostyński,Gostyń,wielkopolskie,gostynski,gostyn,25,25,125000,125000
ZACHODNIOPOMORSKIE,m. Koszalin,Koszalin,zachodniopomorskie,m_koszalin,koszalin,25,25,125000,125000
ŁÓDZKIE,zgierski,Zgierz,lodzkie,zgierski,zgierz,25,25,125000,125000
ŚLĄSKIE,m. Jastrzębie-Zdrój,Jastrzębie-Zdrój,slaskie,m_jastrzebie_zdroj,jastrzebie_zdroj,25,25,125000,125000
LUBELSKIE,bialski,Międzyrzec Podlaski,lubelskie,bialski,miedzyrzec_podlaski,24,23,120000,115000
OPOLSKIE,m. Opole,Opole,opolskie,m_opole,opole,24,24,120000,120000
ŁÓDZKIE,m. Piotrków Trybunalski,Piotrków Trybunalski,lodzkie,m_piotrkow_trybunalski,piotrkow_trybunalski,24,24,120000,120000
ŚLĄSKIE,m. Sosnowiec,Sosnowiec,slaskie,m_sosnowiec,sosnowiec,24,23,120000,115000
MAZOWIECKIE,Warszawa,Białołęka,mazowieckie,warszawa,bialoleka,23,23,115000,115000
MAŁOPOLSKIE,olkuski,Wolbrom,malopolskie,olkuski,wolbrom,23,23,115000,115000
PODKARPACKIE,ropczycko-sędziszowski,Sędziszów Małopolski,podkarpackie,ropczycko_sedziszowski,sedziszow_malopolski,23,23,115000,115000
WIELKOPOLSKIE,kościański,Kościan,wielkopolskie,koscianski,koscian,23,23,115000,115000
ŁÓDZKIE,zduńskowolski,Zduńska Wola,lodzkie,zdunskowolski,zdunska_wola,23,23,115000,115000
ŚLĄSKIE,m. Piekary Śląskie,Piekary Śląskie,slaskie,m_piekary_slaskie,piekary_slaskie,23,23,115000,115000
OPOLSKIE,prudnicki,Biała,opolskie,prudnicki,biala,22,22,110000,110000
POMORSKIE,gdański,Pruszcz Gdański,pomorskie,gdanski,pruszcz_gdanski,22,22,110000,110000
WIELKOPOLSKIE,kościański,Śmigiel,wielkopolskie,koscianski,smigiel,22,22,110000,110000
WIELKOPOLSKIE,pilski,Piła,wielkopolskie,pilski,pila,22,20,110000,100000
LUBELSKIE,biłgorajski,Biłgoraj,lubelskie,bilgorajski,bilgoraj,21,21,105000,105000
MAZOWIECKIE,pułtuski,Pułtusk,mazowieckie,pultuski,pultusk,21,21,105000,105000
MAŁOPOLSKIE,wielicki,Gdów,malopolskie,wielicki,gdow,21,21,105000,105000
PODKARPACKIE,sanocki,Sanok,podkarpackie,sanocki,sanok,21,20,105000,100000
POMORSKIE,starogardzki,Starogard Gdański,pomorskie,starogardzki,starogard_gdanski,21,21,105000,105000
POMORSKIE,tczewski,Tczew,pomorskie,tczewski,tczew,21,21,105000,105000
WIELKOPOLSKIE,gostyński,Krobia,wielkopolskie,gostynski,krobia,21,20,105000,100000
WIELKOPOLSKIE,wolsztyński,Siedlec,wielkopolskie,wolsztynski,siedlec,21,21,105000,105000
KUJAWSKO-POMORSKIE,świecki,Świecie,kujawsko_pomorskie,swiecki,swiecie,20,20,100000,100000
MAZOWIECKIE,przasnyski,Przasnysz,mazowieckie,przasnyski,przasnysz,20,20,100000,100000
MAŁOPOLSKIE,krakowski,Krzeszowice,malopolskie,krakowski,krzeszowice,20,18,100000,90000
MAŁOPOLSKIE,proszowicki,Proszowice,malopolskie,proszowicki,proszowice,20,20,100000,100000
WIELKOPOLSKIE,słupecki,Zagórów,wielkopolskie,slupecki,zagorow,20,20,100000,100000
ŚLĄSKIE,m. Chorzów,Chorzów,slaskie,m_chorzow,chorzow,20,20,100000,100000
LUBUSKIE,nowosolski,Nowa Sól,lubuskie,nowosolski,nowa_sol,19,19,95000,95000
MAZOWIECKIE,m. Siedlce,Siedlce,mazowieckie,m_siedlce,siedlce,19,19,95000,95000
MAŁOPOLSKIE,myślenicki,Myślenice,malopolskie,myslenicki,myslenice,19,19,95000,95000
MAŁOPOLSKIE,nowotarski,Czarny Dunajec,malopolskie,nowotarski,czarny_dunajec,19,19,95000,95000
PODKARPACKIE,ropczycko-sędziszowski,Ropczyce,podkarpackie,ropczycko_sedziszowski,ropczyce,19,16,95000,80000
PODKARPACKIE,strzyżowski,Strzyżów,podkarpackie,strzyzowski,strzyzow,19,16,95000,80000
PODLASKIE,augustowski,Augustów,podlaskie,augustowski,augustow,19,19,95000,95000
PODLASKIE,łomżyński,Piątnica,podlaskie,lomzynski,piatnica,19,19,95000,95000
POMORSKIE,kościerski,Kościerzyna,pomorskie,koscierski,koscierzyna,19,19,95000,95000
WIELKOPOLSKIE,nowotomyski,Zbąszyń,wielkopolskie,nowotomyski,zbaszyn,19,17,95000,85000
WIELKOPOLSKIE,ostrowski,Raszków,wielkopolskie,ostrowski,raszkow,19,19,95000,95000
ŁÓDZKIE,radomszczański,Radomsko,lodzkie,radomszczanski,radomsko,19,16,95000,80000
ŚLĄSKIE,m. Zabrze,Zabrze,slaskie,m_zabrze,zabrze,19,19,95000,95000
DOLNOŚLĄSKIE,kłodzki,Kłodzko,dolnoslaskie,klodzki,klodzko,18,18,90000,90000
LUBELSKIE,krasnostawski,Krasnystaw,lubelskie,krasnostawski,krasnystaw,18,18,90000,90000
LUBELSKIE,rycki,Ryki,lubelskie,rycki,ryki,18,18,90000,90000
MAZOWIECKIE,Warszawa,Ochota,mazowieckie,warszawa,ochota,18,18,90000,90000
MAŁOPOLSKIE,miechowski,Gołcza,malopolskie,miechowski,golcza,18,18,90000,90000
MAŁOPOLSKIE,oświęcimski,Oświęcim,malopolskie,oswiecimski,oswiecim,18,18,90000,90000
OPOLSKIE,nyski,Nysa,opolskie,nyski,nysa,18,18,90000,90000
PODLASKIE,hajnowski,Hajnówka,podlaskie,hajnowski,hajnowka,18,18,90000,90000
POMORSKIE,nowodworski,Stegna,pomorskie,nowodworski,stegna,18,18,90000,90000
WIELKOPOLSKIE,grodziski,Rakoniewice,wielkopolskie,grodziski,rakoniewice,18,16,90000,80000
WIELKOPOLSKIE,kościański,Krzywiń,wielkopolskie,koscianski,krzywin,18,18,90000,90000
WIELKOPOLSKIE,obornicki,Oborniki,wielkopolskie,obornicki,oborniki,18,18,90000,90000
WIELKOPOLSKIE,wolsztyński,Przemęt,wielkopolskie,wolsztynski,przemet,18,18,90000,90000
ŚLĄSKIE,kłobucki,Wręczyca Wielka,slaskie,klobucki,wreczyca_wielka,18,18,90000,90000
LUBELSKIE,biłgorajski,Turobin,lubelskie,bilgorajski,turobin,17,17,85000,85000
LUBELSKIE,lubelski,Bychawa,lubelskie,lubelski,bychawa,17,17,85000,85000
LUBUSKIE,nowosolski,Kożuchów,lubuskie,nowosolski,kozuchow,17,17,85000,85000
MAZOWIECKIE,Warszawa,Żoliborz,mazowieckie,warszawa,zoliborz,17,15,85000,75000
MAZOWIECKIE,sokołowski,Jabłonna Lacka,mazowieckie,sokolowski,jablonna_lacka,17,16,85000,80000
MAŁOPOLSKIE,gorlicki,Gorlice,malopolskie,gorlicki,gorlice,17,17,85000,85000
MAŁOPOLSKIE,m. Nowy Sącz,Nowy Sącz,malopolskie,m_nowy_sacz,nowy_sacz,17,17,85000,85000
MAŁOPOLSKIE,proszowicki,Koniusza,malopolskie,proszowicki,koniusza,17,17,85000,85000
PODKARPACKIE,jarosławski,Jarosław,podkarpackie,jaroslawski,jaroslaw,17,17,85000,85000
PODKARPACKIE,łańcucki,Łańcut,podkarpackie,lancucki,lancut,17,12,85000,60000
PODLASKIE,grajewski,Grajewo,podlaskie,grajewski,grajewo,17,17,85000,85000
PODLASKIE,zambrowski,Zambrów,podlaskie,zambrowski,zambrow,17,17,85000,85000
WIELKOPOLSKIE,wolsztyński,Wolsztyn,wielkopolskie,wolsztynski,wolsztyn,17,17,85000,85000
ZACHODNIOPOMORSKIE,myśliborski,Dębno,zachodniopomorskie,mysliborski,debno,17,17,85000,85000
ZACHODNIOPOMORSKIE,pyrzycki,Pyrzyce,zachodniopomorskie,pyrzycki,pyrzyce,17,17,85000,85000
ZACHODNIOPOMORSKIE,sławieński,Darłowo,zachodniopomorskie,slawienski,darlowo,17,17,85000,85000
ŁÓDZKIE,sieradzki,Błaszki,lodzkie,sieradzki,blaszki,17,17,85000,85000
ŚLĄSKIE,będziński,Będzin,slaskie,bedzinski,bedzin,17,17,85000,85000
ŚLĄSKIE,tarnogórski,Tarnowskie Góry,slaskie,tarnogorski,tarnowskie_gory,17,15,85000,75000
ŚLĄSKIE,zawierciański,Pilica,slaskie,zawiercianski,pilica,17,17,85000,85000
LUBELSKIE,hrubieszowski,Hrubieszów,lubelskie,hrubieszowski,hrubieszow,16,16,80000,80000
LUBELSKIE,lubartowski,Lubartów,lubelskie,lubartowski,lubartow,16,16,80000,80000
LUBELSKIE,m. Chełm,Chełm,lubelskie,m_chelm,chelm,16,16,80000,80000
LUBUSKIE,świebodziński,Świebodzin,lubuskie,swiebodzinski,swiebodzin,16,16,80000,80000
MAZOWIECKIE,miński,Mińsk Mazowiecki,mazowieckie,minski,minsk_mazowiecki,16,16,80000,80000
MAZOWIECKIE,sochaczewski,Sochaczew,mazowieckie,sochaczewski,sochaczew,16,15,80000,75000
MAZOWIECKIE,sokołowski,Kosów Lacki,mazowieckie,sokolowski,kosow_lacki,16,15,80000,75000
MAŁOPOLSKIE,brzeski,Szczurowa,malopolskie,brzeski,szczurowa,16,16,80000,80000
OPOLSKIE,oleski,Olesno,opolskie,oleski,olesno,16,16,80000,80000
OPOLSKIE,strzelecki,Strzelce Opolskie,opolskie,strzelecki,strzelce_opolskie,16,16,80000,80000
PODKARPACKIE,jasielski,Nowy Żmigród,podkarpackie,jasielski,nowy_zmigrod,16,15,80000,75000
PODKARPACKIE,przeworski,Przeworsk,podkarpackie,przeworski,przeworsk,16,16,80000,80000
POMORSKIE,m. Sopot,Sopot,pomorskie,m_sopot,sopot,16,16,80000,80000
WARMIŃSKO-MAZURSKIE,iławski,Lubawa,warminsko_mazurskie,ilawski,lubawa,16,16,80000,80000
WARMIŃSKO-MAZURSKIE,m. Elbląg,Elbląg,warminsko_mazurskie,m_elblag,elblag,16,16,80000,80000
WIELKOPOLSKIE,gostyński,Poniec,wielkopolskie,gostynski,poniec,16,16,80000,80000
WIELKOPOLSKIE,kaliski,Blizanów,wielkopolskie,kaliski,blizanow,16,16,80000,80000
WIELKOPOLSKIE,słupecki,Słupca,wielkopolskie,slupecki,slupca,16,16,80000,80000
ZACHODNIOPOMORSKIE,goleniowski,Nowogard,zachodniopomorskie,goleniowski,nowogard,16,16,80000,80000
ZACHODNIOPOMORSKIE,m. Świnoujście,Świnoujście,zachodniopomorskie,m_swinoujscie,swinoujscie,16,16,80000,80000
ZACHODNIOPOMORSKIE,policki,Police,zachodniopomorskie,policki,police,16,15,80000,75000
ŚLĄSKIE,myszkowski,Koziegłowy,slaskie,myszkowski,kozieglowy,16,16,80000,80000
ŚWIĘTOKRZYSKIE,buski,Busko-Zdrój,swietokrzyskie,buski,busko_zdroj,16,16,80000,80000
DOLNOŚLĄSKIE,zgorzelecki,Bogatynia,dolnoslaskie,zgorzelecki,bogatynia,15,15,75000,75000
KUJAWSKO-POMORSKIE,mogileński,Mogilno,kujawsko_pomorskie,mogilenski,mogilno,15,15,75000,75000
LUBELSKIE,biłgorajski,Frampol,lubelskie,bilgorajski,frampol,15,14,75000,70000
LUBELSKIE,lubelski,Wysokie,lubelskie,lubelski,wysokie,15,15,75000,75000
LUBELSKIE,zamojski,Radecznica,lubelskie,zamojski,radecznica,15,14,75000,70000
MAZOWIECKIE,grodziski,Grodzisk Mazowiecki,mazowieckie,grodziski,grodzisk_mazowiecki,15,14,75000,70000
MAZOWIECKIE,sokołowski,Sterdyń,mazowieckie,sokolowski,sterdyn,15,15,75000,75000
MAŁOPOLSKIE,krakowski,Iwanowice,malopolskie,krakowski,iwanowice,15,14,75000,70000
MAŁOPOLSKIE,krakowski,Skawina,malopolskie,krakowski,skawina,15,14,75000,70000
MAŁOPOLSKIE,krakowski,Zabierzów,malopolskie,krakowski,zabierzow,15,14,75000,70000
OPOLSKIE,głubczycki,Głubczyce,opolskie,glubczycki,glubczyce,15,15,75000,75000
PODKARPACKIE,leżajski,Leżajsk,podkarpackie,lezajski,lezajsk,15,15,75000,75000
PODKARPACKIE,stalowowolski,Stalowa Wola,podkarpackie,stalowowolski,stalowa_wola,15,15,75000,75000
POMORSKIE,chojnicki,Brusy,pomorskie,chojnicki,brusy,15,15,75000,75000
POMORSKIE,pucki,Puck,pomorskie,pucki,puck,15,15,75000,75000
POMORSKIE,tczewski,Gniew,pomorskie,tczewski,gniew,15,15,75000,75000
WIELKOPOLSKIE,gnieźnieński,Gniezno,wielkopolskie,gnieznienski,gniezno,15,15,75000,75000
WIELKOPOLSKIE,kaliski,Opatówek,wielkopolskie,kaliski,opatowek,15,15,75000,75000
WIELKOPOLSKIE,koniński,Kramsk,wielkopolskie,koninski,kramsk,15,15,75000,75000
WIELKOPOLSKIE,koniński,Rzgów,wielkopolskie,koninski,rzgow,15,15,75000,75000
WIELKOPOLSKIE,ostrowski,Sieroszewice,wielkopolskie,ostrowski,sieroszewice,15,15,75000,75000
DOLNOŚLĄSKIE,zgorzelecki,Zgorzelec,dolnoslaskie,zgorzelecki,zgorzelec,14,14,70000,70000
DOLNOŚLĄSKIE,ząbkowicki,Ziębice,dolnoslaskie,zabkowicki,ziebice,14,14,70000,70000
LUBELSKIE,tomaszowski,Susiec,lubelskie,tomaszowski,susiec,14,14,70000,70000
LUBELSKIE,łukowski,Łuków,lubelskie,lukowski,lukow,14,14,70000,70000
MAZOWIECKIE,Warszawa,Wawer,mazowieckie,warszawa,wawer,14,12,70000,60000
MAZOWIECKIE,płocki,Staroźreby,mazowieckie,plocki,starozreby,14,13,70000,65000
MAZOWIECKIE,sokołowski,Repki,mazowieckie,sokolowski,repki,14,14,70000,70000
MAŁOPOLSKIE,myślenicki,Dobczyce,malopolskie,myslenicki,dobczyce,14,14,70000,70000
OPOLSKIE,namysłowski,Namysłów,opolskie,namyslowski,namyslow,14,14,70000,70000
PODKARPACKIE,bieszczadzki,Ustrzyki Dolne,podkarpackie,bieszczadzki,ustrzyki_dolne,14,14,70000,70000
PODKARPACKIE,strzyżowski,Wiśniowa,podkarpackie,strzyzowski,wisniowa,14,11,70000,55000
PODLASKIE,białostocki,Choroszcz,podlaskie,bialostocki,choroszcz,14,14,70000,70000
PODLASKIE,bielski,Bielsk Podlaski,podlaskie,bielski,bielsk_podlaski,14,14,70000,70000
POMORSKIE,chojnicki,Czersk,pomorskie,chojnicki,czersk,14,13,70000,65000
POMORSKIE,nowodworski,Nowy Dwór Gdański,pomorskie,nowodworski,nowy_dwor_gdanski,14,13,70000,65000
WIELKOPOLSKIE,jarociński,Jaraczewo,wielkopolskie,jarocinski,jaraczewo,14,14,70000,70000
WIELKOPOLSKIE,koniński,Golina,wielkopolskie,koninski,golina,14,11,70000,55000
ŁÓDZKIE,radomszczański,Kodrąb,lodzkie,radomszczanski,kodrab,14,14,70000,70000
ŁÓDZKIE,sieradzki,Warta,lodzkie,sieradzki,warta,14,14,70000,70000
ŚLĄSKIE,cieszyński,Cieszyn,slaskie,cieszynski,cieszyn,14,14,70000,70000
ŚLĄSKIE,raciborski,Racibórz,slaskie,raciborski,raciborz,14,14,70000,70000
ŚWIĘTOKRZYSKIE,jędrzejowski,Jędrzejów,swietokrzyskie,jedrzejowski,jedrzejow,14,14,70000,70000
DOLNOŚLĄSKIE,kłodzki,Nowa Ruda,dolnoslaskie,klodzki,nowa_ruda,13,13,65000,65000
DOLNOŚLĄSKIE,oleśnicki,Oleśnica,dolnoslaskie,olesnicki,olesnica,13,13,65000,65000
KUJAWSKO-POMORSKIE,m. Grudziądz,Grudziądz,kujawsko_pomorskie,m_grudziadz,grudziadz,13,13,65000,65000
KUJAWSKO-POMORSKIE,sępoleński,Kamień Krajeński,kujawsko_pomorskie,sepolenski,kamien_krajenski,13,13,65000,65000
KUJAWSKO-POMORSKIE,wąbrzeski,Ryńsk,kujawsko_pomorskie,wabrzeski,rynsk,13,13,65000,65000
LUBELSKIE,chełmski,Leśniowice,lubelskie,chelmski,lesniowice,13,13,65000,65000
LUBELSKIE,opolski,Opole Lubelskie,lubelskie,opolski,opole_lubelskie,13,13,65000,65000
LUBUSKIE,krośnieński,Gubin,lubuskie,krosnienski,gubin,13,13,65000,65000
LUBUSKIE,żarski,Żary,lubuskie,zarski,zary,13,13,65000,65000
MAZOWIECKIE,Warszawa,Praga-Północ,mazowieckie,warszawa,praga_polnoc,13,13,65000,65000
MAZOWIECKIE,miński,Mrozy,mazowieckie,minski,mrozy,13,13,65000,65000
MAZOWIECKIE,ostrołęcki,Czerwin,mazowieckie,ostrolecki,czerwin,13,13,65000,65000
MAZOWIECKIE,sokołowski,Bielany,mazowieckie,sokolowski,bielany,13,9,65000,45000
MAŁOPOLSKIE,bocheński,Bochnia,malopolskie,bochenski,bochnia,13,13,65000,65000
MAŁOPOLSKIE,brzeski,Brzesko,malopolskie,brzeski,brzesko,13,13,65000,65000
MAŁOPOLSKIE,miechowski,Miechów,malopolskie,miechowski,miechow,13,13,65000,65000
MAŁOPOLSKIE,nowosądecki,Krynica-Zdrój,malopolskie,nowosadecki,krynica_zdroj,13,13,65000,65000
MAŁOPOLSKIE,wielicki,Wieliczka,malopolskie,wielicki,wieliczka,13,13,65000,65000
OPOLSKIE,kluczborski,Kluczbork,opolskie,kluczborski,kluczbork,13,13,65000,65000
PODKARPACKIE,dębicki,Dębica,podkarpackie,debicki,debica,13,12,65000,60000
PODKARPACKIE,jasielski,Skołyszyn,podkarpackie,jasielski,skolyszyn,13,8,65000,40000
PODKARPACKIE,jasielski,Tarnowiec,podkarpackie,jasielski,tarnowiec,13,13,65000,65000
PODKARPACKIE,leżajski,Nowa Sarzyna,podkarpackie,lezajski,nowa_sarzyna,13,12,65000,60000
PODKARPACKIE,strzyżowski,Frysztak,podkarpackie,strzyzowski,frysztak,13,11,65000,55000
PODLASKIE,siemiatycki,Siemiatycze,podlaskie,siemiatycki,siemiatycze,13,12,65000,60000
POMORSKIE,słupski,Redzikowo,pomorskie,slupski,redzikowo,13,12,65000,60000
POMORSKIE,wejherowski,Szemud,pomorskie,wejherowski,szemud,13,12,65000,60000
WIELKOPOLSKIE,gostyński,Pępowo,wielkopolskie,gostynski,pepowo,13,13,65000,65000
WIELKOPOLSKIE,koniński,Wierzbinek,wielkopolskie,koninski,wierzbinek,13,13,65000,65000
WIELKOPOLSKIE,leszczyński,Włoszakowice,wielkopolskie,leszczynski,wloszakowice,13,12,65000,60000
WIELKOPOLSKIE,rawicki,Jutrosin,wielkopolskie,rawicki,jutrosin,13,13,65000,65000
WIELKOPOLSKIE,rawicki,Rawicz,wielkopolskie,rawicki,rawicz,13,13,65000,65000
ZACHODNIOPOMORSKIE,gryficki,Gryfice,zachodniopomorskie,gryficki,gryfice,13,13,65000,65000
ZACHODNIOPOMORSKIE,policki,Dobra (Szczecińska),zachodniopomorskie,policki,dobra_szczecinska,13,13,65000,65000
ZACHODNIOPOMORSKIE,stargardzki,Stargard,zachodniopomorskie,stargardzki,stargard,13,13,65000,65000
ZACHODNIOPOMORSKIE,świdwiński,Świdwin,zachodniopomorskie,swidwinski,swidwin,13,13,65000,65000
ŁÓDZKIE,wieruszowski,Wieruszów,lodzkie,wieruszowski,wieruszow,13,13,65000,65000
ŚLĄSKIE,zawierciański,Kroczyce,slaskie,zawiercianski,kroczyce,13,13,65000,65000
ŚLĄSKIE,zawierciański,Szczekociny,slaskie,zawiercianski,szczekociny,13,13,65000,65000
ŚWIĘTOKRZYSKIE,jędrzejowski,Małogoszcz,swietokrzyskie,jedrzejowski,malogoszcz,13,13,65000,65000
DOLNOŚLĄSKIE,lubiński,Lubin,dolnoslaskie,lubinski,lubin,12,12,60000,60000
DOLNOŚLĄSKIE,lwówecki,Lwówek Śląski,dolnoslaskie,lwowecki,lwowek_slaski,12,12,60000,60000
KUJAWSKO-POMORSKIE,nakielski,Kcynia,kujawsko_pomorskie,nakielski,kcynia,12,12,60000,60000
KUJAWSKO-POMORSKIE,sępoleński,Więcbork,kujawsko_pomorskie,sepolenski,wiecbork,12,12,60000,60000
LUBELSKIE,lubelski,Bełżyce,lubelskie,lubelski,belzyce,12,12,60000,60000
LUBELSKIE,lubelski,Wojciechów,lubelskie,lubelski,wojciechow,12,12,60000,60000
LUBELSKIE,lubelski,Zakrzew,lubelskie,lubelski,zakrzew,12,12,60000,60000
LUBELSKIE,puławski,Końskowola,lubelskie,pulawski,konskowola,12,12,60000,60000
LUBELSKIE,rycki,Kłoczew,lubelskie,rycki,kloczew,12,12,60000,60000
LUBELSKIE,zamojski,Nielisz,lubelskie,zamojski,nielisz,12,12,60000,60000
LUBELSKIE,zamojski,Zamość,lubelskie,zamojski,zamosc,12,12,60000,60000
LUBELSKIE,świdnicki,Piaski,lubelskie,swidnicki,piaski,12,12,60000,60000
LUBUSKIE,strzelecko-drezdenecki,Drezdenko,lubuskie,strzelecko_drezdenecki,drezdenko,12,12,60000,60000
