wojewodztwo,powiat,gmina,wojewodztwo_key,powiat_key,gmina_key,siren_records_without_gsm,unique_sites_without_gsm,integration_cost_records_pln,integration_cost_unique_sites_pln
ZACHODNIOPOMORSKIE,szczecinecki,Biały Bór,zachodniopomorskie,szczecinecki,bialy_bor,2,2,10000,10000
ZACHODNIOPOMORSKIE,szczecinecki,Borne Sulinowo,zachodniopomorskie,szczecinecki,borne_sulinowo,2,2,10000,10000
ZACHODNIOPOMORSKIE,łobeski,Radowo Małe,zachodniopomorskie,lobeski,radowo_male,2,2,10000,10000
ZACHODNIOPOMORSKIE,łobeski,Węgorzyno,zachodniopomorskie,lobeski,wegorzyno,2,2,10000,10000
ŁÓDZKIE,brzeziński,Rogów,lodzkie,brzezinski,rogow,2,2,10000,10000
ŁÓDZKIE,opoczyński,Opoczno,lodzkie,opoczynski,opoczno,2,2,10000,10000
ŁÓDZKIE,piotrkowski,Ręczno,lodzkie,piotrkowski,reczno,2,2,10000,10000
ŁÓDZKIE,radomszczański,Gidle,lodzkie,radomszczanski,gidle,2,2,10000,10000
ŁÓDZKIE,skierniewicki,Bolimów,lodzkie,skierniewicki,bolimow,2,2,10000,10000
ŁÓDZKIE,skierniewicki,Maków,lodzkie,skierniewicki,makow,2,2,10000,10000
ŁÓDZKIE,wieluński,Mokrsko,lodzkie,wielunski,mokrsko,2,2,10000,10000
ŁÓDZKIE,wieruszowski,Czastary,lodzkie,wieruszowski,czastary,2,2,10000,10000
ŁÓDZKIE,zgierski,Parzęczew,lodzkie,zgierski,parzeczew,2,2,10000,10000
ŁÓDZKIE,łaski,Widawa,lodzkie,laski,widawa,2,2,10000,10000
ŁÓDZKIE,łowicki,Bielawy,lodzkie,lowicki,bielawy,2,2,10000,10000
ŁÓDZKIE,łowicki,Kiernozia,lodzkie,lowicki,kiernozia,2,2,10000,10000
ŁÓDZKIE,łowicki,Kocierzew Południowy,lodzkie,lowicki,kocierzew_poludniowy,2,2,10000,10000
ŁÓDZKIE,łowicki,Zduny,lodzkie,lowicki,zduny,2,2,10000,10000
ŁÓDZKIE,łowicki,Łowicz,lodzkie,lowicki,lowicz,2,2,10000,10000
ŁÓDZKIE,łęczycki,Góra Świętej Małgorzaty,lodzkie,leczycki,gora_swietej_malgorzaty,2,2,10000,10000
ŁÓDZKIE,łęczycki,Piątek,lodzkie,leczycki,piatek,2,2,10000,10000
ŁÓDZKIE,łęczycki,Łęczyca,lodzkie,leczycki,leczyca,2,2,10000,10000
ŁÓDZKIE,łęczycki,Świnice Warckie,lodzkie,leczycki,swinice_warckie,2,2,10000,10000
ŚLĄSKIE,bielski,Porąbka,slaskie,bielski,porabka,2,2,10000,10000
ŚLĄSKIE,bieruńsko-lędziński,Chełm Śląski,slaskie,bierunsko_ledzinski,chelm_slaski,2,2,10000,10000
ŚLĄSKIE,cieszyński,Dębowiec,slaskie,cieszynski,debowiec,2,2,10000,10000
ŚLĄSKIE,częstochowski,Konopiska,slaskie,czestochowski,konopiska,2,2,10000,10000
ŚLĄSKIE,mikołowski,Wyry,slaskie,mikolowski,wyry,2,2,10000,10000
ŚLĄSKIE,raciborski,Pietrowice Wielkie,slaskie,raciborski,pietrowice_wielkie,2,2,10000,10000
ŚLĄSKIE,raciborski,Rudnik,slaskie,raciborski,rudnik,2,2,10000,10000
ŚLĄSKIE,tarnogórski,Kalety,slaskie,tarnogorski,kalety,2,2,10000,10000
ŚLĄSKIE,tarnogórski,Krupski Młyn,slaskie,tarnogorski,krupski_mlyn,2,2,10000,10000
ŚLĄSKIE,żywiecki,Łodygowice,slaskie,zywiecki,lodygowice,2,2,10000,10000
ŚLĄSKIE,żywiecki,Łękawica,slaskie,zywiecki,lekawica,2,2,10000,10000
ŚWIĘTOKRZYSKIE,konecki,Smyków,swietokrzyskie,konecki,smykow,2,2,10000,10000
ŚWIĘTOKRZYSKIE,opatowski,Baćkowice,swietokrzyskie,opatowski,backowice,2,2,10000,10000
ŚWIĘTOKRZYSKIE,sandomierski,Samborzec,swietokrzyskie,sandomierski,samborzec,2,2,10000,10000
ŚWIĘTOKRZYSKIE,skarżyski,Skarżysko-Kamienna,swietokrzyskie,skarzyski,skarzysko_kamienna,2,2,10000,10000
DOLNOŚLĄSKIE,dzierżoniowski,Piława Górna,dolnoslaskie,dzierzoniowski,pilawa_gorna,1,0,5000,0
DOLNOŚLĄSKIE,karkonoski,Podgórzyn,dolnoslaskie,karkonoski,podgorzyn,1,1,5000,5000
DOLNOŚLĄSKIE,kłodzki,Duszniki-Zdrój,dolnoslaskie,klodzki,duszniki_zdroj,1,1,5000,5000
DOLNOŚLĄSKIE,kłodzki,Lewin Kłodzki,dolnoslaskie,klodzki,lewin_klodzki,1,1,5000,5000
DOLNOŚLĄSKIE,kłodzki,Polanica-Zdrój,dolnoslaskie,klodzki,polanica_zdroj,1,1,5000,5000
DOLNOŚLĄSKIE,legnicki,Kunice,dolnoslaskie,legnicki,kunice,1,1,5000,5000
DOLNOŚLĄSKIE,lubański,Olszyna,dolnoslaskie,lubanski,olszyna,1,1,5000,5000
DOLNOŚLĄSKIE,lubański,Świeradów-Zdrój,dolnoslaskie,lubanski,swieradow_zdroj,1,1,5000,5000
DOLNOŚLĄSKIE,oławski,Domaniów,dolnoslaskie,olawski,domaniow,1,1,5000,5000
DOLNOŚLĄSKIE,trzebnicki,Wisznia Mała,dolnoslaskie,trzebnicki,wisznia_mala,1,1,5000,5000
DOLNOŚLĄSKIE,wałbrzyski,Boguszów-Gorce,dolnoslaskie,walbrzyski,boguszow_gorce,1,1,5000,5000
DOLNOŚLĄSKIE,wałbrzyski,Głuszyca,dolnoslaskie,walbrzyski,gluszyca,1,1,5000,5000
DOLNOŚLĄSKIE,wałbrzyski,Jedlina-Zdrój,dolnoslaskie,walbrzyski,jedlina_zdroj,1,1,5000,5000
DOLNOŚLĄSKIE,wałbrzyski,Szczawno-Zdrój,dolnoslaskie,walbrzyski,szczawno_zdroj,1,1,5000,5000
DOLNOŚLĄSKIE,wołowski,Brzeg Dolny,dolnoslaskie,wolowski,brzeg_dolny,1,0,5000,0
DOLNOŚLĄSKIE,wrocławski,Kobierzyce,dolnoslaskie,wroclawski,kobierzyce,1,1,5000,5000
DOLNOŚLĄSKIE,zgorzelecki,Zawidów,dolnoslaskie,zgorzelecki,zawidow,1,1,5000,5000
DOLNOŚLĄSKIE,ząbkowicki,Ciepłowody,dolnoslaskie,zabkowicki,cieplowody,1,1,5000,5000
DOLNOŚLĄSKIE,świdnicki,Świebodzice,dolnoslaskie,swidnicki,swiebodzice,1,1,5000,5000
KUJAWSKO-POMORSKIE,aleksandrowski,Raciążek,kujawsko_pomorskie,aleksandrowski,raciazek,1,0,5000,0
KUJAWSKO-POMORSKIE,golubsko-dobrzyński,Ciechocin,kujawsko_pomorskie,golubsko_dobrzynski,ciechocin,1,1,5000,5000
KUJAWSKO-POMORSKIE,grudziądzki,Rogóźno,kujawsko_pomorskie,grudziadzki,rogozno,1,1,5000,5000
KUJAWSKO-POMORSKIE,inowrocławski,Pakość,kujawsko_pomorskie,inowroclawski,pakosc,1,1,5000,5000
