gap_id,risk_class,pop_outside_night,pop_outside_day,area_ha,teryt_gmi,wojewodztwo,powiat,gmina,priority_score_v12,priority_class,recommended_action_seed,procurement_action,estimated_new_siren_cost_pln,new_siren_cost_per_pop_outside_night_pln,x_2180,y_2180,lat,lon,estimated_unit_cost_pln,cost_per_pop_outside_night_pln
3346,niskie ryzyko,6.0,6.0,2.0,2209082,POMORSKIE,malborski,Stare Pole,32.2,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,517450.0,687400.0,54.0507181,19.2666153,0,0.0
25774,niskie ryzyko,5.120819740142899,5.120819740142899,6.0,1811032,PODKARPACKIE,mielecki,Czermin,32.2,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,664500.0,275650.0,50.3250135,21.3117617,0,0.0
12385,niskie ryzyko,4.0,4.0,3.0,0803023,LUBUSKIE,międzyrzecki,Międzyrzecz,32.2,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,265050.0,514950.0,52.4498049,15.54126,0,0.0
23659,niskie ryzyko,3.997297080317033,3.997297080317033,1.0,1818062,PODKARPACKIE,stalowowolski,Zaleszany,32.2,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,704850.0,312550.0,50.6438957,21.8983455,0,0.0
16066,niskie ryzyko,3.682630765835356,3.682630765835356,1.0,1015082,ŁÓDZKIE,skierniewicki,Skierniewice,32.2,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,583250.0,460150.0,52.0013154,20.2130848,0,0.0
4558,niskie ryzyko,2.0,2.0,2.0,2207032,POMORSKIE,kwidzyński,Kwidzyn,32.2,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,493300.0,662350.0,53.8257531,18.8981813,0,0.0
16627,niskie ryzyko,1.602995598023807,1.602995598023807,1.0,0601142,LUBELSKIE,bialski,Sławatycze,32.2,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,816750.0,446550.0,51.795384,23.5955728,0,0.0
21299,niskie ryzyko,6.360812672513275,6.360812672513275,2.0,1009013,ŁÓDZKIE,pajęczański,Działoszyn,32.19,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,484200.0,359350.0,51.100714,18.7742745,0,0.0
28446,niskie ryzyko,5.570897474089675,1.9860904173253704,1.0,1819012,PODKARPACKIE,strzyżowski,Czudec,32.19,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,701350.0,232250.0,49.9235928,21.8061088,0,0.0
28110,niskie ryzyko,4.873121322326947,4.873121322326947,1.0,1213023,MAŁOPOLSKIE,oświęcimski,Brzeszcze,32.19,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,512650.0,237350.0,50.0032984,19.1765757,0,0.0
27755,niskie ryzyko,4.066445617037459,4.06644561703746,1.0,1213062,MAŁOPOLSKIE,oświęcimski,Oświęcim,32.19,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,523950.0,241950.0,50.0443353,19.3345926,0,0.0
14066,niskie ryzyko,4.0,4.0,2.0,0601122,LUBELSKIE,bialski,Rokitno,32.19,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,798650.0,488100.0,52.1779514,23.3699944,0,0.0
8122,niskie ryzyko,2.964565682380905,2.964565682380904,3.0,2007022,PODLASKIE,łomżyński,Łomża,32.19,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,713850.0,588100.0,53.115264,22.1964792,0,0.0
26164,niskie ryzyko,1.136985297709178,1.136985297709178,1.0,1204073,MAŁOPOLSKIE,dąbrowski,Szczucin,32.19,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,653650.0,270550.0,50.2820957,21.1573269,0,0.0
28115,niskie ryzyko,4.155268534172892,4.155268534172892,2.0,1804082,PODKARPACKIE,jarosławski,Radymno,32.18,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,773950.0,237250.0,49.9396164,22.819387,0,0.0
25314,niskie ryzyko,3.718624130857788,3.718624130857788,4.0,1603062,OPOLSKIE,kędzierzyńsko-kozielski,Reńska Wieś,32.18,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,435000.0,282700.0,50.4078226,18.0849854,0,0.0
13067,niskie ryzyko,3.1343283582089554,3.099723020961877,1.0,1408022,MAZOWIECKIE,legionowski,Jabłonna,32.18,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,628650.0,505850.0,52.4034219,20.8916849,0,0.0
25418,niskie ryzyko,2.1050493924895877,2.105049392489588,1.0,2612022,ŚWIĘTOKRZYSKIE,staszowski,Łubnice,32.18,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,656950.0,280750.0,50.3729205,21.207871,0,0.0
13285,niskie ryzyko,2.038949869690951,1.922462450857403,2.0,1414022,MAZOWIECKIE,nowodworski,Czosnów,32.18,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,611100.0,503350.0,52.3847952,20.6329206,0,0.0
16792,niskie ryzyko,1.1976386222882187,1.1976386222882185,6.0,1403132,MAZOWIECKIE,garwoliński,Wilga,32.18,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,666100.0,441750.0,51.8173676,21.4105968,0,0.0
