teryt_woj,wojewodztwo,teryt_pow,powiat,teryt_gmi,gmina,risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,pct_ge65_of_total,pct_outside_ge65_of_total
14,MAZOWIECKIE,1411,makowski,1411052,Młynarze,wysokie ryzyko,84.8635922469733,79.99170993445954,57.47198198104408,52.37641834027207,27.391610265929216,27.615291594187468,67.72,32.28
14,MAZOWIECKIE,1411,makowski,1411062,Płoniawy-Bramura,niskie ryzyko,19.149526175373257,19.0658933050338,17.76491079075787,17.681277920418417,1.3846153846153846,1.3846153846153846,92.77,7.23
14,MAZOWIECKIE,1411,makowski,1411062,Płoniawy-Bramura,wysokie ryzyko,0.9890103946537806,0.9787434033007424,0.9890103946537806,0.9787434033007424,0.0,0.0,100.0,0.0
14,MAZOWIECKIE,1411,makowski,1411082,Rzewnie,niskie ryzyko,413.7277445009339,410.8350994705039,101.45342325419682,101.45342325419682,312.27432124673714,309.38167621630714,24.52,75.48
14,MAZOWIECKIE,1411,makowski,1411082,Rzewnie,wysokie ryzyko,201.77945699526367,197.87498079045355,51.15777361603893,48.250090199734466,150.62168337922475,149.6248905907191,25.35,74.65
14,MAZOWIECKIE,1411,makowski,1411073,Różan,niskie ryzyko,104.2912714312042,104.02619565273214,73.77991841181252,73.36604563708877,30.5113530193917,30.660150015643364,70.74,29.26
14,MAZOWIECKIE,1411,makowski,1411073,Różan,wysokie ryzyko,79.36029395036212,79.21149695411043,39.22681940323845,39.22681940323845,40.13347454712367,39.98467755087199,49.43,50.57
14,MAZOWIECKIE,1411,makowski,1411102,Szelków,niskie ryzyko,207.1119238728028,206.41466655744037,164.64699949489832,163.94974217953592,42.46492437790447,42.46492437790447,79.5,20.5
14,MAZOWIECKIE,1411,makowski,1411102,Szelków,wysokie ryzyko,180.98434703632404,181.48646529774703,157.1754550262251,157.6775732876481,23.808892010098923,23.808892010098923,86.84,13.16
14,MAZOWIECKIE,1412,miński,1412043,Cegłów,niskie ryzyko,3.225278084815126,3.9491139223487224,3.225278084815126,3.9491139223487224,0.0,0.0,100.0,0.0
